rank,name,result,citizen_of,competition,year
265,Oliver Fritz,7.96,Germany,Elsass Open 2019,2019
265,Twan Dullemond,7.96,Netherlands,Veenendaal Open 2020,2020
270,DongSu Park (박동수),7.97,Republic of Korea,Cube Camp in Wonju 2019,2019
270,Jaime Botello García,7.97,Spain,Kubekings Villanueva Open 2019,2019
272,Elvin Thorsen,7.98,Sweden,SSL 3 Varberg 2019,2019
272,Thompson Clarke,7.98,Canada,Newmarket Open 2019,2019
274,Julian Bürgi,7.99,Switzerland,Swisscubing Cup IV 2020,2020
274,Karl Matthew Angeles,7.99,Philippines,Valenzuela Cube Classic 2019,2019
274,Maksym Zharov (Максим Жаров),7.99,Ukraine,Lviv Spring Days 2019,2019
274,Wojciech Weremczuk,7.99,Poland,Polish Open 2019,2019
274,Yihan Chen (陈奕涵),7.99,China,Lanzhou Autumn 2019,2019
279,Beom San Kim (김범산),8.00,Republic of Korea,Play Cube X4 2019,2019
280,Gael Augusto Lapeyre,8.01,Argentina,Hernando Summer 2020,2020
281,Jeriel James Thomas,8.02,Canada,Kew Forest Open 2018,2018
281,Kailong Li (李开隆),8.02,China,Nanjing Spring 2017,2017
283,Will Gurnett,8.03,Australia,Koalafication Melbourne 2019,2019
284,Alejandro Daniel Salceda Corvera,8.04,Mexico,Telpochcalli Tlaxcala 2020,2020
284,Andy Gong,8.04,Australia,Surf Coast Cubing 2019,2019
284,Artem Kosarev (Артем Косарев),8.04,Russia,Tyumen Cube Fest 2020,2020
284,Christopher Olson,8.04,United States,Race the Clock 2018,2018
284,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),8.04,Thailand,Singapore Open 2017,2017
284,Rodrigo Cabezas,8.04,Chile,Chillán Open 2019,2019
284,Rushil Dalal,8.04,India,Cube Fiesta Surat 2019,2019
284,Zaiyang Zhang (张在旸),8.04,China,Tianjin Autumn 2019,2019
292,Alexey Zharikov,8.05,Russia,Ramenskoe Open 2019,2019
292,Biel Salmons Gonzalez,8.05,Spain,Spanish Championship 2019,2019
292,Caitlin Hutnyk,8.05,Canada,St. John&#39;s Spring Open 2018,2018
292,Theo Iván Goluboff,8.05,Argentina,Hernando Summer 2020,2020
292,Tyler Howlett,8.05,United States,Reno Winter 2020,2020
292,Zhi Li (李志),8.05,China,Weihai Open 2019,2019
298,Alex Johnson,8.06,United States,SacCubing II 2017,2017
298,Angelo Giovanni Licetti León,8.06,Peru,LatAm Tour - Lima 2017,2017
298,Bartłomiej Owczarek,8.06,Poland,PST Mielec 2019,2019
298,Eva Kato,8.06,United States,WCA World Championship 2019,2019
298,Giovanni Contardi,8.06,Italy,Romagna Open 2019,2019
298,Jackson DeVico,8.06,United States,Ridge Cubing Fall 2019,2019
298,Jaden Burkhardt,8.06,United States,UCSD Winter 2020,2020
298,Jonatan Kłosko,8.06,Poland,Project Będzin 2019,2019
306,Elijah Brown,8.07,United States,Santa Barbara Fall 2019,2019
306,Martin Brath,8.07,Germany,German Big Cube Open 2019,2019
306,Ray Vince Ong,8.07,Canada,Leap to Barrie 2020,2020
309,Artem Ganzha,8.08,Russia,MPEI Open 2019,2019
309,Erik Akkersdijk,8.08,Netherlands,UK Championship 2018,2018
309,Jerry Yao,8.08,United States,Scranton Scramble 2020,2020
309,Jode Brewster,8.08,Australia,Koalafication Melbourne 2019,2019
313,Florian Truckenthanner,8.09,Austria,Tirol Open 2019,2019
313,Marek Majerik,8.09,Slovakia,Hungarian Open 2019,2019
313,Nikhil Soares,8.09,India,DSK Pune Cube Open 2019,2019
316,Alwin Rölz,8.10,Switzerland,Munich Open 2019,2019
316,Bryan Eng,8.10,Australia,Fortitude Sydney 2019,2019
316,Kai Su (苏锴),8.10,China,Wuhan Open 2019,2019
316,Marcos Aparicio Caro,8.10,Spain,Chanquete Open 2019,2019
316,Ramón Dersch,8.10,Germany,PSKubing 2016,2016
316,Sean Moran,8.10,United Kingdom,Doncaster Open 2020,2020
322,Eli Jay,8.11,United Kingdom,Weston-super-Mare Open 2018,2018
322,Riley Norrid,8.11,United States,Houston Winter 2020,2020
322,Riley Woo,8.11,United States,SacCubing III 2018,2018
322,Valerii Pochtar (Валерій Почтар),8.11,Ukraine,Ukrainian Nationals 2017,2017
322,Zixi Li (李梓熙),8.11,China,Zhongshan Children&#39;s Day 2019,2019
327,Aamir Saifee,8.12,India,RGIT Cube Open 2019,2019
327,Benjamin Christie,8.12,United States,Severna Park Summer 2017,2017
327,Che-Ting Chu (朱哲廷),8.12,Taiwan,Taiwan Championship 2018,2018
327,Munkhdelger Shinekhuu,8.12,Mongolia,China Championship 2019,2019
327,Paris Dorn,8.12,Canada,CubingUSA Nationals 2019,2019
332,Wong Kin Lok (黃健樂),8.13,Hong Kong,WCA Asian Championship 2018,2018
333,Mattia Furlan,8.14,Italy,Road to IC - Bologna 2019,2019
333,Tomoya Iida (飯田朋也),8.14,Japan,Japan Championship 2019,2019
335,Jack Pfeifer,8.15,United States,Kent Fall 2019,2019
336,Isaac Wong Chang Man,8.16,Singapore,Singapore Championship 2018,2018
336,James Karras,8.16,United States,Brooklyn Fall 2019,2019
336,Ryan Pilat,8.16,United States,OU Winter 2019,2019
339,Breandan Vallance,8.17,United Kingdom,Lincoln Open 2019,2019
339,Ng Jia Quan (黄佳铨),8.17,Malaysia,Singapore MentalMatrix Open 2019,2019
