rank,name,result,citizen_of,competition,year
376,Tu Pham,8.24,Vietnam,Melbourne Summer 2020,2020
376,Ulrik Bredland,8.24,Norway,Flatåsen Open 2020,2020
382,Jonathan Charlesworth,8.25,Australia,Darwin Open 2019,2019
382,Sean Hartman,8.25,United States,Florida Fall Fest 2019,2019
382,Sergey Ryabko,8.25,Russia,CCC Qualification SPB 2020,2020
382,Yumu Tabuchi (田渕雄夢),8.25,Japan,Rabbit and Turtle 2012,2012
386,Alaik Bhatia,8.26,India,VJTI Mumbai Cube Open 2018,2018
386,Jonathan Chng,8.26,Singapore,NTU Open 2019,2019
386,Yuxuan Guo (郭雨轩),8.26,China,Jieyang Winter 2020,2020
386,Zayn Khanani,8.26,United States,Northern Neck Winter 2020,2020
390,Felipe Medel,8.27,Chile,La Serena Open 2020,2020
390,Jong-Ho Jeong (정종호),8.27,Republic of Korea,ABHC 2015,2015
390,Kim Jokinen,8.27,Finland,Doge Open 2016,2016
390,Pavel Galaktionov,8.27,Russia,SPB Island 2018,2018
390,Phil Patrick F. Isidro,8.27,Philippines,Philippine Championship 2019,2019
390,Sameer Sethuram,8.27,United States,No Place For DNF Fall 2019,2019
396,Gabriel Gaza,8.28,Philippines,Luzon Championship 2019,2019
396,Giovane Rubin Fioravanti,8.28,Brazil,I Itapê Open 2019,2019
396,Seyyed Mohammad Hossein Fatemi (سید محمد حسین فاطمی),8.28,Iran,Golden Rubik&#39;s Cube 2017,2017
396,Yoo-chan Hong (홍유찬),8.28,Republic of Korea,Cubing Korea 2019,2019
400,Adhemar Mizushima,8.29,Bolivia,Villa Rosita 2020,2020
400,Dale Stephen M. Palmares,8.29,Philippines,Marikina City Open II 2019,2019
400,Edward Lin,8.29,United States,Fresno Fall 2017,2017
400,Hyo-Min Seo (서효민),8.29,Republic of Korea,Korean Christmas Cup 2014,2014
400,Jerich Lee (李再圆),8.29,United States,CubingUSA Nationals 2019,2019
400,Samuel Brenner,8.29,United States,Sharon Summer 2017,2017
400,Yurii Hnidko (Юрій Гнідко),8.29,Ukraine,Smartcube Fest Kyiv 2019,2019
407,Alexei Sinyavin,8.30,United States,Princeton Winter 2020,2020
407,Enzo Mattos,8.30,Brazil,SESC Santos 2018,2018
407,Guojie Wang (王国杰),8.30,China,Nanchang Open 2019,2019
407,Lucas Déglise,8.30,France,Mémorial François Courtès 2020,2020
411,Dominic Heising,8.31,United States,3rd Coast Cubing 2019,2019
411,Fangrui Zeng (曾方锐),8.31,China,Beijing Winter 2019,2019
411,Tolga Kaan Kantarcı,8.31,Turkey,Eskişehir Spring 2019,2019
414,Carlos Cesar Rodríguez García,8.32,Mexico,Rubik Zamora 2017,2017
414,Evan Liu,8.32,United States,Providence Fall 2019,2019
414,Julian Favell,8.32,Canada,Ajax Winter 2019,2019
414,Letian Hu (胡乐天),8.32,China,Asian Championship 2016,2016
414,Li Chak Kwan (李澤堃),8.32,Hong Kong,Shenzhen Open 2019,2019
419,Ace Djun T. Aguirre Jr.,8.33,Philippines,Tagum City Open 2019,2019
419,Dylan Hughlett,8.33,United States,Colorado Qualifier 2019,2019
419,Mikołaj Zubowicz,8.33,Poland,Gdańsk Open 2020,2020
419,Sheng Cao (曹晟),8.33,China,Shandong Open 2019,2019
419,Ty Marshall,8.33,United States,San Ramon 2017,2017
419,Yang Li (李扬),8.33,China,SJTU Winter Open 2018,2018
419,Yu Feng (冯煜),8.33,China,Beijing Summer 2019,2019
426,Anson Lin,8.34,China,New Zealand Nationals 2014,2014
426,Jorge Leonardo Sánchez Salazar,8.34,Mexico,Rubik Zacatecas 2017,2017
426,Maximiliano Rojas Zaputovich,8.34,Mexico,Plata Taxco Open 2018,2018
426,Muhammad Razin Bin Roslan,8.34,Malaysia,Putra Speedcubing Challenge 2019,2019
426,Tyler Robinson,8.34,United States,Sioux Fall 2019,2019
431,Andreas Lambropoulos,8.35,United States,Charlotte Winter 2020,2020
431,Deniz Atak,8.35,United States,Northern Neck Winter 2019,2019
431,Fahmi Aulia Rachman,8.35,Indonesia,BSC 10th Anniversary 2019,2019
431,Jinseo Hong,8.35,Republic of Korea,Babylon Winter 2020,2020
431,Moses San Pascual,8.35,Philippines,ValenZheng Cube Open 2018,2018
431,Sora Sato,8.35,Australia,Enjoyable Sydney Gathering 2020,2020
437,Alexander Tosting,8.36,Sweden,Popular &#39;n Blind Flen 2020,2020
437,Ari Randers-Pehrson,8.36,United States,Constitution State Winter 2020,2020
437,David Pearce,8.36,Australia,Northside Cube Days 2020,2020
437,Farid Mikhailov,8.36,Kazakhstan,Ramenskoe Open 2019,2019
437,Paul Pleis,8.36,France,Swisscubing Cup IV 2020,2020
437,Simon Westlund,8.36,Sweden,SSL Final Borås 2017,2017
443,Aiden Bartlett,8.37,United States,UBC Open 2020,2020
443,Aryan Kejriwal,8.37,United States,Slow N Steady Summer 2018,2018
443,Đỗ Quang Hưng,8.37,Vietnam,Ha Noi Cube Day 2020,2020
443,Eric Yang,8.37,United States,Bay Area Speedcubin&#39; 17 2019,2019
443,Jan Staubach,8.37,Germany,Bremium Winter 2019,2019
443,Parker Trager,8.37,United States,Babylon Winter 2020,2020
443,Tanish Dhiman,8.37,Germany,Tirol Open 2019,2019
450,Ihor Bilchenko (Ігор Більченко),8.38,Ukraine,Dnepr Never Fails 2018,2018
450,Jiekang Pan (潘杰康),8.38,China,Changsha Spring Open 2019,2019
450,José Cruz Lara Rojas,8.38,Mexico,NxN Tlaxcala 2019,2019
450,Jose Polorhenzo Aquino,8.38,Philippines,Cebu Open 2020,2020
450,Justin Andrew Dee,8.38,Philippines,Philippine Championship 2019,2019
450,Justin John Navarro,8.38,Philippines,Tagum City Open 2019,2019
450,Kristóf Veres,8.38,Hungary,Budapest Open 2020,2020
450,Louis Meunier,8.38,United States,Princeton Winter 2020,2020
450,Milán Baticz,8.38,Hungary,Hungarian Open 2018,2018
450,Patrick Hetco,8.38,Germany,Frankfurt Cube Days 2020,2020
450,Samuel Simko,8.38,Slovakia,Swisscubing Cup III 2019,2019
450,Yinghao Wang (王鹰豪),8.38,China,China Championship 2017,2017
462,Maxim Ilin,8.39,Russia,Ivanovo Cuber Cup 2019,2019
462,Victor Colin,8.39,France,French Championship 2019,2019
464,Bhargav Narasimhan,8.40,India,Indian Nationals 2019,2019
464,Henry Lichner,8.40,United States,North Liberty 2019,2019
464,Nathaniel Berg,8.40,Sweden,SSL Final Borås 2017,2017
464,Nicola Barbaro,8.40,Italy,Italian Championship 2018,2018
464,Ramiro Mendez,8.40,Argentina,Happy Autumn MDQ 2018,2018
464,Sooho Lee (이수호),8.40,Republic of Korea,Cubing Operating System 2019,2019
470,Chengyang Song (宋成阳),8.41,China,AHAU Open 2019,2019
470,Jonathan Tilahun,8.41,United States,Slow N Steady Winter 2020,2020
470,Lance Bastien Loy,8.41,Philippines,Tagum City Open 2019,2019
470,Mateo Tiul,8.41,United States,New York City Winter 2017,2017
470,Nicolás Irenco Peña Henríquez,8.41,Chile,Cubopía Open 2020,2020
470,Platon Dranchuk (Платон Дранчук),8.41,Belarus,New Year in PSU 2019,2019
470,Toby Litiatco,8.41,Philippines,Antipolo City Cube Open II 2019,2019
477,David Epstein,8.42,Australia,Altona Algorithms 2019,2019
477,Paolo Moriello,8.42,Italy,Turin Cube Day 2017,2017
479,Cory Yurkovic,8.43,United States,Arcadia Summer 2019,2019
479,Ivan Polkanov (Иван Полканов),8.43,Russia,Ural Autumn 2020,2020
479,Max Xiong (熊锐明),8.43,China,Winnipeg Open 2019,2019
479,Nathan Dwyer,8.43,United States,Mishawaka Summer 2019,2019
479,Zeyu Gao (高泽宇),8.43,China,Quanzhou Open 2018,2018
484,David Ludwig,8.44,United States,Music City Speedsolving 2017,2017
484,Eyal Alfasi,8.44,Israel,Israel Championship 2019,2019
484,Mharr Justhinne Ampong,8.44,Philippines,Cavite Speedcubing Open 2017,2017
484,Reto Bubendorf,8.44,Finland,Lausanne Euro Qualifier 2018,2018
488,Govend Avgerinos Djangoi,8.45,Sweden,Södertälje New Year 2020,2020
488,Jonah Jarvis,8.45,Canada,Winnipeg Open 2019,2019
488,Piotr Tokarski,8.45,Poland,LLS IV 2019,2019
488,Róbert Maróti,8.45,Hungary,Osijek Open 2020,2020
488,You Hyeon-Dong (유현동),8.45,Republic of Korea,KAIST Spring 2017,2017
493,Ernest Eh Zhong Yu,8.46,Malaysia,Malaysia Cube Championship 2019,2019
493,Inigo Miguel B. Palisoc,8.46,Philippines,Philippine Championship 2019,2019
493,Jonatan Solheim,8.46,Norway,Bergen Open 2019,2019
493,Mateusz Śliż,8.46,Poland,ŚLS Będzin Open 2017,2017
493,Ng Yong Teng,8.46,Singapore,NTU Open 2019,2019
493,Piti Pichedpan (ปิติ พิเชษฐพันธ์),8.46,Thailand,Chonburi Open 2011,2011
493,Victor Chenu,8.46,France,Cube An Dro 2019,2019
493,Yu Sajima (佐島優),8.46,Japan,Tohoku 2019,2019
501,Hong Seungbin,8.47,Republic of Korea,HanMaDang 2017,2017
501,Jaden Lim,8.47,Philippines,Malabon City Cube Open 2019,2019
501,Vladyslav Zhyhailo (Владислав Жигайло),8.47,Ukraine,Dnepr Never Fails 2018,2018
504,Adrien Auvray Matyn,8.48,New Zealand,Auckland Summer Open 2020,2020
504,Ali Atashi (علی آتشی),8.48,Iran,İstanbul Summer 2019,2019
504,Ivan Bogdan,8.48,Belarus,Moldova Open 2020,2020
504,Mitchell Lane,8.48,United States,Thanks Four The Invite 2018,2018
504,Swann Castel,8.48,France,Nancy Open 2015,2015
504,Viktor Kalmar,8.48,Austria,Budapest Open 2020,2020
510,Akito Nipatcharoen,8.49,Australia,Enjoyable Sydney Gathering 2020,2020
510,Amirali Farajnezhad (امیرعلی فرج نژاد),8.49,Iran,Chekaad Summer 2019,2019
510,Ivaylo Tanev,8.49,Bulgaria,Sofia Open 2018,2018
510,Joaquin Ruenes Hernández,8.49,Mexico,Misión México 2019,2019
510,Jordan Mosakowski,8.49,United States,Rocky Mountain Spring 2019,2019
515,Gábor Slezák,8.50,Hungary,Slovakian Open 2019,2019
515,Graham Lively,8.50,United States,Solving Hunger Virginia 2019,2019
515,Habin Kim (김하빈),8.50,Republic of Korea,Cubing Korea 2019,2019
515,Hunor Bózsing,8.50,Hungary,Budapest Open 2018,2018
515,Lovin Raghava,8.50,India,Indian Nationals 2019,2019
515,Martin Kraut,8.50,Germany,Erfurt Open 2014,2014
515,Saman Parvizi (سامان پرویزی),8.50,Iran,Tehran Summer 2019,2019
522,Lucas O&#39;Connell,8.51,New Zealand,Auckland Summer Open 2020,2020
522,Nejc Ian Čurman,8.51,Slovenia,WCA Euro 2018,2018
522,Tyler VanGompel,8.51,United States,Wiscube 2019,2019
525,Andrew Park,8.52,United States,Slow N Steady Winter 2018,2018
525,Brian Law,8.52,United States,Berkeley Spring 2019,2019
525,Daniel Cofreces Jaureguizar,8.52,Spain,Martorell Open 2019,2019
525,Livia Kleiner,8.52,United States,Hudson Valley Open 2018,2018
525,Vladyslav Zhydkov (Владислав Жидков),8.52,Ukraine,Ukrainian Nationals 2018,2018
525,Zhangyuan He (何章元),8.52,China,Huzhou Open 2019,2019
531,Jack Beckett,8.53,Australia,WCA World Championship 2019,2019
531,Jungwoo Ha (하정우),8.53,Republic of Korea,Cubing Korea 2019,2019
531,Justin He,8.53,Australia,Cool Down Sydney 2019,2019
531,Nicholas Tran,8.53,United States,Cubing with the Viking 2020,2020
531,Reagan Li,8.53,Canada,Downtown Vancouver Winter 2020,2020
531,Zhao-Zhe Zhong (鍾肇哲),8.53,Taiwan,Matsu Open 2019,2019
537,Ganghui Lin (林刚辉),8.54,China,China Championship 2019,2019
537,Tijmen van der Ree,8.54,Netherlands,Hamburg International 2019,2019
537,Zhenyang Liu (刘振洋),8.54,China,Longyan Open 2018,2018
540,Derek Hsieh,8.55,United States,San Diego Summer 2019,2019
540,Dmitry Kryuzban,8.55,Russia,YJ Fest 2018,2018
540,Nathanael Tung Wei An,8.55,Singapore,Singapore Championship 2018,2018
540,Taro Yoshioka (吉岡太郎),8.55,Japan,Kansai Summer 2019,2019
544,Arush Singh,8.56,India,Speedcubing ESYA 2019,2019
544,Matthew Lee,8.56,Canada,Leap to Barrie 2020,2020
544,Shlomo Ben Shalom,8.56,Israel,Israel Summer Open 2019,2019
544,Tomáš Nguyen,8.56,Vietnam,Project Jastrzębie-Zdrój 2019,2019
548,Benjamin Wei,8.57,United States,Northeast Championship 2019,2019
548,Kyle Gyawali,8.57,United States,UIUC Fall 2019,2019
548,Matheus Barbosa de Miranda,8.57,Brazil,Brasileiro 2017,2017
548,Noah Schulhof,8.57,United States,Maryland 2017,2017
548,Sakib Ibn Rashid Rhivu,8.57,Bangladesh,City of Joy 2017,2017
548,Shaun Mack,8.57,United States,Liberty Science Center Open 2019,2019
554,Olivier Vos,8.58,Netherlands,Rijswijk Open 2019,2019
555,Armando Dian,8.59,Malaysia,Sabah Cube Open 2019,2019
555,Edrian Miguel Capistrano,8.59,Philippines,Cubing Sa Nia Ra Jud Open 2018,2018
555,Joel Ulin,8.59,Sweden,Södertälje New Year 2020,2020
555,Lucas Wesche,8.59,Germany,German Open 2018,2018
555,Nathan Soria,8.59,United States,Grossmont Fall 2019,2019
555,Tudor Lin,8.59,United States,Liberty Science Center Open 2019,2019
555,Wilson Alvis (陈智胜),8.59,Indonesia,Sumatra Open 2018,2018
562,Chenhao Ma (马晨皓),8.60,China,Beijing Winter 2019,2019
562,Daniil Lee,8.60,Russia,MPEI Open 2016,2016
562,Jusun Choi (최주선),8.60,Republic of Korea,Berkeley Summer 2019,2019
562,Mark Allen Baruc,8.60,Philippines,Iligan Open 2017,2017
562,Simon Kalhofer,8.60,Germany,Franconia Spring 2019,2019
562,Teo Kai Xiang,8.60,Singapore,Cubewerkz Open 2016,2016
568,Connor Kempf,8.61,United States,Great Lakes Championship 2018,2018
568,Edward Vakula,8.61,United States,Cubing Peoria 2020,2020
568,Jared Stinson,8.61,United States,Classic City Closer 2018,2018
568,Magdalena Pabisz,8.61,Poland,LLS V Final 2019,2019
568,Marcel Ručigaj,8.61,Slovenia,Prebold Open 2019,2019
568,Quinten Andelhofs,8.61,Belgium,WCA Euro 2018,2018
568,Soichi Akamatsu (赤松聡一),8.61,Japan,Kansai Summer 2018,2018
568,Valentin Hoffmann,8.61,France,German Nationals 2019,2019
576,Adriel Wiebe,8.62,United States,Cubing in Cambridge 2019,2019
576,Isabella Corona,8.62,United States,Another Bruin Cube Day 2019,2019
576,Makoto Takaoka (高岡誠),8.62,Japan,Nishinomiya Open 2019,2019
576,Nitin Nathan,8.62,United States,C3 Cup Finale 2019,2019
576,Pessi Ansaranta,8.62,Finland,Helsinki Open 2020,2020
576,Seamus Twyman,8.62,Canada,3x3 Only Calgary 2019,2019
576,Yifei Chen (陈奕霏),8.62,China,Fujian Championship 2018,2018
583,Calix Tang,8.63,United States,SacCubing IX 2020,2020
583,Fayyadh Aunilbarr,8.63,Indonesia,WCA World Championship 2019,2019
583,Francisco Hamlin,8.63,Argentina,Meppel Open 2018,2018
583,Henry Hughes,8.63,Canada,Ajax Winter 2019,2019
583,Jack Ryan,8.63,United States,Colorado Springs Winter 2020,2020
583,Lee Byung June (이병준),8.63,Republic of Korea,Korean Championship 2019,2019
583,Leopoldo Andrés Ibarra Fuentes,8.63,Chile,UA Open 2018,2018
583,Trang Bảo Minh,8.63,Vietnam,Ha Noi Summer 2020,2020
591,Gabriel Machado Nunes,8.64,Brazil,Copa Black Horse 2019,2019
591,Hendry Cahyadi,8.64,Indonesia,Jawa Timur Open 2017,2017
591,Jimeng Guo (郭冀蒙),8.64,China,Shijiazhuang Winter 2018,2018
594,Akash Rupela,8.65,India,Bangladesh Cubing Fiesta 2019,2019
594,Đoàn Anh Dũng,8.65,Vietnam,Ha Noi Summer 2020,2020
594,Marcus Moberg,8.65,Sweden,Welcome Back Jönköping 2020,2020
594,Mathias Søndergaard Byrne,8.65,Denmark,Danish Championship 2020,2020
594,Mikhail Kopylov (Михаил Копылов),8.65,Russia,Siberia Open 2020,2020
594,Peter Nielsen,8.65,Denmark,Dåstrup Sleepover 2018,2018
594,Zhengtao Yu (俞正涛),8.65,China,Xiamen Autumn 2019,2019
594,Zhiying Liang (梁芷瑛),8.65,China,Guilin Open 2019,2019
602,Eeshan Khurana,8.66,United States,Princeton Winter 2019,2019
602,Holden Moritz,8.66,United States,Santa Fe Spring 2018,2018
602,Jakub Kubiak,8.66,Poland,Polish Championship 2019,2019
602,Walker Welch,8.66,United States,Three Seconds Snakes 2018,2018
602,Zachary White,8.66,United States,Houston Winter 2020,2020
602,Zhansen Shingis (Жансен Шингис),8.66,Kazakhstan,Cubing Kazakhstan Nationals 2019,2019
608,Adam Chodyniecki,8.67,Poland,Moldova Open 2020,2020
608,Chris Choi,8.67,United States,SBU Fall 2019,2019
608,Jolo Endona,8.67,Philippines,CaMaNaVa Open 2018,2018
608,Muhammad Ammar Aufa B. Rosman,8.67,Malaysia,Putra Speedcubing Challenge 2019,2019
608,Thanaporn Sichanugrist (ธนพร สิชฌนุกฤษฎ์),8.67,Thailand,Asian Championship 2012,2012
608,Trần Đình Anh,8.67,Vietnam,Ha Noi Summer 2020,2020
608,Yexin Cai (蔡烨欣),8.67,China,Meizhou Open 2018,2018
615,Aidan Lee,8.68,United States,Keep Portland Weird 2019,2019
615,Dylan Wang,8.68,Canada,Vancouver Big Cubes Open 2019,2019
615,Miles Lentz,8.68,United States,Indianapolis Cubes Winter 2019,2019
615,Rilang Cao (曹日朗),8.68,China,Jieyang Winter 2020,2020
619,Celine Tran,8.69,Norway,Trondheim Parity Open 2019,2019
619,David Remolina Amórtegui,8.69,Colombia,Sergio Arboleda 2018,2018
619,Manuel Prieto de Antón,8.69,Spain,Kubekings Villanueva Open 2019,2019
619,Matthew Carlson,8.69,United States,Irvine Winter 2018,2018
619,Richmond Mico Rigor,8.69,Philippines,Fairview Cube Day 2018,2018
624,Andrew Xie,8.70,United States,New Jersey Championship 2018,2018
624,Emanuel Rheinert,8.70,Germany,Hamburg International 2019,2019
624,Kirt Protacio,8.70,Australia,Brisbane Spring 2015,2015
624,Mitsuki Gunji (郡司光貴),8.70,Japan,Reiwa Anniversary 2019,2019
624,Nguyễn Hoàng Quân,8.70,Vietnam,Ho Chi Minh Let&#39;s Cube 2019,2019
624,Paul Ellement,8.70,Canada,Battle of Waterloo 2018,2018
624,Robin Tschümperlin,8.70,Switzerland,Swiss Nationals 2017,2017
631,Andrii Vasyliev (Андрій Васильєв),8.71,Ukraine,Horse City 2019,2019
631,Noah Simcox,8.71,United States,Cubing Peoria 2019,2019
631,Vilius Ribinskas,8.71,Lithuania,Norrkubing 2019,2019
634,Binyu Li (李槟宇),8.72,China,Suzhou Open 2019,2019
634,Daniel Greigg,8.72,United States,WCA World Championship 2019,2019
634,Finn Trass,8.72,New Zealand,Palmerston North 2018,2018
634,Nguyễn Quang Trung,8.72,Vietnam,CSP Open 2015,2015
638,Callum Hales-Jepp,8.73,United Kingdom,FLIP Open 2019,2019
638,Casey Ngo,8.73,United States,Oklahoma Open 2019,2019
638,Darcy Way,8.73,Australia,Melbourne Summer 2020,2020
638,Rifa Octavian Himawan,8.73,Indonesia,BSC 10th Anniversary 2019,2019
642,Dmitry Dergunov,8.74,Russia,CCC Qualification SPB 2020,2020
642,MinSeo Gu (구민서),8.74,Republic of Korea,Korean Championship 2019,2019
642,Peter Grassard,8.74,France,Chelles Open 2020,2020
642,Vladyslav Hryniuk (Владислав Гринюк),8.74,Ukraine,Zhytomyr Cube Battle 2019,2019
642,Xiaobin Rui (芮晓彬),8.74,China,Taiyuan Winter 2018,2018
647,Emilio Eleodoro Ramírez Lahsen,8.75,Chile,DEC Open 2017,2017
647,Hitoki Kidahashi (木田橋仁毅),8.75,Japan,Kansai Summer 2018,2018
647,Jialong Liu (刘嘉龙),8.75,China,Shenzhen 10th Anniversary 2019,2019
647,Lennon Hughes,8.75,Australia,Melbourne Summer 2020,2020
647,Lorenzo Mauro,8.75,Italy,Romagna Open 2019,2019
647,Mihir Narayan,8.75,India,Ramli Mall Open 2019,2019
647,Vyacheslav Kochergin (Вячеслав Кочергин),8.75,Russia,Ural Autumn 2020,2020
647,Wei Wang (王炜),8.75,China,Wuhan Chuyun Spring 2017,2017
647,Wojciech Knott,8.75,Poland,Project Warszawa 2018,2018
656,Alessandro Nicolì,8.76,Italy,Italian Championship 2019,2019
656,Dmitry Aniskin,8.76,Russia,Moscow Winter Cubing 2018,2018
656,Jack Manzo,8.76,United States,CubingUSA Nationals 2018,2018
656,Jeremy Collins,8.76,United States,Fort Worth Fall Fiesta 2019,2019
656,Kenny Zhong,8.76,Canada,Chilliwack Cubes Fall 2019,2019
656,Kesava Kirupa,8.76,India,Shaastra Cube Open 2017,2017
656,Yi-Heng Lee (李宜衡),8.76,Taiwan,Kaohsiung Autumn Open 2017,2017
663,Carter Audet Marrero,8.77,United States,Mudd Fall 2019,2019
663,Ethan Misteri,8.77,United States,Indialantic Open 2018,2018
663,Henry Savich,8.77,United States,Music City Speedsolving 2019,2019
663,Marcos Meibel Corral Murillo,8.77,Mexico,Pitic Open 2020,2020
663,Taiga Takaoka (高岡汰虎),8.77,Japan,Kansai Summer 2018,2018
663,Tao Wen (温韬),8.77,China,Yunnan Open 2019,2019
663,Yan Jin (金岩),8.77,China,Ningxia Open 2017,2017
670,Brandon Huang,8.78,United States,Manhasset 2015,2015
670,Cale Schoon,8.78,United States,North Star Cubing Challenge 2020,2020
670,Darren Siew Ee Yaang (蕭奕暘),8.78,Malaysia,Sens Open 2019,2019
